"Country","Year","Pathogen","Antibiotic","Total","Resistant","Data","Region"
"Argentina",2017,"Klebsiella pneumoniae","Ciprofloxacin",5284,2016,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Colistin",4740,278,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Cefotaxime",2584,1401,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Ertapenem",1023,241,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Cefepime",4221,2051,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Imipenem",4522,624,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Meropenem",4510,650,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",5164,2483,"GLASS","Region of the Americas"
"Argentina",2017,"Shigella sonnei","Azithromycin",782,19,"GLASS","Region of the Americas"
"Argentina",2017,"Shigella sonnei","Ceftazidime",960,1,"GLASS","Region of the Americas"
"Argentina",2017,"Shigella sonnei","Ciprofloxacin",2446,3,"GLASS","Region of the Americas"
"Argentina",2017,"Shigella sonnei","Cefotaxime",717,11,"GLASS","Region of the Americas"
"Argentina",2017,"Staphylococcus aureus","Oxacillin",1593,784,"GLASS","Region of the Americas"
"Argentina",2017,"Streptococcus pneumoniae","Cefotaxime",148,3,"GLASS","Region of the Americas"
"Argentina",2017,"Streptococcus pneumoniae","Benzylpenicillin",259,68,"GLASS","Region of the Americas"
"Argentina",2017,"Streptococcus pneumoniae","Trimethoprim/sulfamethoxazole",386,71,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Amikacin",347,78,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Colistin",352,9,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Gentamicin",368,221,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Imipenem",372,281,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Meropenem",375,283,"GLASS","Region of the Americas"
"Argentina",2018,"Acinetobacter baumannii","Minocycline",226,10,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Ampicillin",38947,25203,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Ceftazidime",26903,3320,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Ciprofloxacin",39448,9036,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Colistin",28576,180,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Cefotaxime",20723,3046,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Ertapenem",1711,12,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Cefepime",24849,2866,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Imipenem",25531,34,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Meropenem",25519,57,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Trimethoprim/sulfamethoxazole",38957,15910,"GLASS","Region of the Americas"
"Argentina",2018,"Escherichia coli","Tinidazole",1471,296,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Ceftazidime",5363,2691,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Ciprofloxacin",6058,2277,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Colistin",5171,308,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Cefotaxime",2910,1513,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Ertapenem",1213,275,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Cefepime",5043,2363,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Imipenem",5325,717,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Meropenem",5334,738,"GLASS","Region of the Americas"
"Argentina",2018,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",5955,2714,"GLASS","Region of the Americas"
"Argentina",2018,"Shigella sonnei","Azithromycin",1118,21,"GLASS","Region of the Americas"
"Argentina",2018,"Shigella sonnei","Ceftazidime",1109,3,"GLASS","Region of the Americas"
"Argentina",2018,"Shigella sonnei","Ciprofloxacin",2810,5,"GLASS","Region of the Americas"
"Argentina",2018,"Shigella sonnei","Cefotaxime",873,14,"GLASS","Region of the Americas"
"Argentina",2018,"Staphylococcus aureus","Oxacillin",1877,850,"GLASS","Region of the Americas"
"Argentina",2018,"Streptococcus pneumoniae","Cefotaxime",215,1,"GLASS","Region of the Americas"
"Argentina",2018,"Streptococcus pneumoniae","Benzylpenicillin",408,78,"GLASS","Region of the Americas"
"Argentina",2018,"Streptococcus pneumoniae","Trimethoprim/sulfamethoxazole",381,81,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Amikacin",275,76,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Colistin",198,2,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Gentamicin",279,177,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Imipenem",292,202,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Meropenem",291,201,"GLASS","Region of the Americas"
"Argentina",2019,"Acinetobacter baumannii","Minocycline",201,13,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Ampicillin",31614,20651,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Ceftazidime",23131,2847,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Ciprofloxacin",32601,7655,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Colistin",19739,95,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Cefotaxime",15485,2367,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Ertapenem",1339,14,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Cefepime",22859,2510,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Imipenem",23118,38,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Meropenem",23094,44,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",32000,13217,"GLASS","Region of the Americas"
"Argentina",2019,"Escherichia coli","Tinidazole",1212,230,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Ceftazidime",4620,2386,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Ciprofloxacin",5296,2062,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Colistin",3896,311,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Cefotaxime",3245,1821,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Ertapenem",885,182,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Cefepime",4564,2100,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Imipenem",4703,567,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Meropenem",4706,633,"GLASS","Region of the Americas"
"Argentina",2019,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",5182,2457,"GLASS","Region of the Americas"
"Argentina",2019,"Shigella sonnei","Azithromycin",1327,18,"GLASS","Region of the Americas"
"Argentina",2019,"Shigella sonnei","Ceftazidime",996,0,"GLASS","Region of the Americas"
"Argentina",2019,"Shigella sonnei","Ciprofloxacin",2436,7,"GLASS","Region of the Americas"
"Argentina",2019,"Shigella sonnei","Cefotaxime",963,15,"GLASS","Region of the Americas"
"Argentina",2019,"Staphylococcus aureus","Oxacillin",13062,5478,"GLASS","Region of the Americas"
"Argentina",2019,"Streptococcus pneumoniae","Cefotaxime",168,1,"GLASS","Region of the Americas"
"Argentina",2019,"Streptococcus pneumoniae","Oxacillin",232,54,"GLASS","Region of the Americas"
"Argentina",2019,"Streptococcus pneumoniae","Benzylpenicillin",358,88,"GLASS","Region of the Americas"
"Argentina",2019,"Streptococcus pneumoniae","Trimethoprim/sulfamethoxazole",322,58,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Amikacin",626,167,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Colistin",500,11,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Gentamicin",615,464,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Imipenem",640,528,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Meropenem",637,523,"GLASS","Region of the Americas"
"Argentina",2020,"Acinetobacter baumannii","Minocycline",374,78,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Ampicillin",25519,16001,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Ceftazidime",17822,2563,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Ciprofloxacin",26661,6543,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Colistin",13981,69,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Cefotaxime",11914,1989,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Ertapenem",1433,20,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Cefepime",17505,2209,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Imipenem",18031,35,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Meropenem",17950,28,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Trimethoprim/sulfamethoxazole",26809,10470,"GLASS","Region of the Americas"
"Argentina",2020,"Escherichia coli","Tinidazole",1254,266,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Ceftazidime",4638,2487,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Ciprofloxacin",5453,2331,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Colistin",3799,388,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Cefotaxime",2118,1112,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Ertapenem",1256,411,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Cefepime",4633,2179,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Imipenem",4930,854,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Meropenem",4938,956,"GLASS","Region of the Americas"
"Argentina",2020,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",5397,2655,"GLASS","Region of the Americas"
"Argentina",2020,"Shigella sonnei","Azithromycin",1120,6,"GLASS","Region of the Americas"
"Argentina",2020,"Shigella sonnei","Ceftazidime",635,2,"GLASS","Region of the Americas"
"Argentina",2020,"Shigella sonnei","Ciprofloxacin",1669,8,"GLASS","Region of the Americas"
"Argentina",2020,"Shigella sonnei","Cefotaxime",415,17,"GLASS","Region of the Americas"
"Argentina",2020,"Staphylococcus aureus","Oxacillin",1604,616,"GLASS","Region of the Americas"
"Argentina",2020,"Streptococcus pneumoniae","Cefotaxime",73,1,"GLASS","Region of the Americas"
"Argentina",2020,"Streptococcus pneumoniae","Benzylpenicillin",128,33,"GLASS","Region of the Americas"
"Argentina",2020,"Streptococcus pneumoniae","Trimethoprim/sulfamethoxazole",135,19,"GLASS","Region of the Americas"
"Australia",2019,"Acinetobacter baumannii","Amikacin",97,1,"GLASS","Western Pacific Region"
"Australia",2019,"Acinetobacter baumannii","Colistin",11,0,"GLASS","Western Pacific Region"
"Australia",2019,"Acinetobacter baumannii","Gentamicin",99,8,"GLASS","Western Pacific Region"
"Australia",2019,"Acinetobacter baumannii","Imipenem",11,0,"GLASS","Western Pacific Region"
"Australia",2019,"Acinetobacter baumannii","Meropenem",98,3,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Ampicillin",4881,2749,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Ceftazidime",4885,347,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Ciprofloxacin",4882,779,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Colistin",614,1,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Ceftriaxone",4885,649,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Ertapenem",614,23,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Cefepime",4884,202,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Imipenem",615,3,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Meropenem",4882,4,"GLASS","Western Pacific Region"
"Australia",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",4880,1508,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Ceftazidime",1140,83,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Ciprofloxacin",1139,119,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Colistin",134,0,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Ceftriaxone",1140,98,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Ertapenem",134,2,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Cefepime",1140,38,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Imipenem",134,0,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Meropenem",1140,8,"GLASS","Western Pacific Region"
"Australia",2019,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",1140,190,"GLASS","Western Pacific Region"
"Australia",2019,"Neisseria gonorrhoeae","Azithromycin",5649,237,"GLASS","Western Pacific Region"
"Australia",2019,"Neisseria gonorrhoeae","Ciprofloxacin",5649,1546,"GLASS","Western Pacific Region"
"Australia",2019,"Neisseria gonorrhoeae","Ceftriaxone",5649,9,"GLASS","Western Pacific Region"
"Australia",2019,"Neisseria gonorrhoeae","Gentamicin",705,0,"GLASS","Western Pacific Region"
"Australia",2019,"Neisseria gonorrhoeae","Spectinomycin",5237,0,"GLASS","Western Pacific Region"
"Australia",2019,"Staphylococcus aureus","Oxacillin",3157,583,"GLASS","Western Pacific Region"
"Austria",2017,"Escherichia coli","Tinidazole",5129,494,"GLASS","European Region"
"Austria",2017,"Staphylococcus aureus","Oxacillin",3158,186,"GLASS","European Region"
"Austria",2018,"Escherichia coli","Tinidazole",5672,579,"GLASS","European Region"
"Austria",2018,"Staphylococcus aureus","Oxacillin",3307,212,"GLASS","European Region"
"Austria",2019,"Acinetobacter baumannii","Amikacin",58,5,"GLASS","European Region"
"Austria",2019,"Acinetobacter baumannii","Colistin",11,1,"GLASS","European Region"
"Austria",2019,"Acinetobacter baumannii","Gentamicin",63,6,"GLASS","European Region"
"Austria",2019,"Acinetobacter baumannii","Imipenem",46,4,"GLASS","European Region"
"Austria",2019,"Acinetobacter baumannii","Meropenem",81,6,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Ampicillin",5782,2720,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Ceftazidime",4650,358,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Ciprofloxacin",5939,1080,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Colistin",274,1,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Ceftriaxone",1730,154,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Cefotaxime",5748,521,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Ertapenem",1550,0,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Cefepime",5317,388,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Imipenem",3094,0,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Levofloxacin",2257,383,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Meropenem",5938,0,"GLASS","European Region"
"Austria",2019,"Escherichia coli","Tinidazole",5748,521,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Ceftazidime",1033,109,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Ciprofloxacin",1288,201,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Colistin",70,0,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Ceftriaxone",347,40,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Cefotaxime",1228,110,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Ertapenem",345,9,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Cefepime",1168,96,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Imipenem",662,11,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Levofloxacin",449,64,"GLASS","European Region"
"Austria",2019,"Klebsiella pneumoniae","Meropenem",1295,16,"GLASS","European Region"
"Austria",2019,"Staphylococcus aureus","Oxacillin",19254,1005,"GLASS","European Region"
"Austria",2019,"Streptococcus pneumoniae","Ceftriaxone",340,3,"GLASS","European Region"
"Austria",2019,"Streptococcus pneumoniae","Cefotaxime",422,2,"GLASS","European Region"
"Austria",2019,"Streptococcus pneumoniae","Oxacillin",157,11,"GLASS","European Region"
"Austria",2019,"Streptococcus pneumoniae","Benzylpenicillin",462,6,"GLASS","European Region"
"Austria",2020,"Escherichia coli","Tinidazole",4933,465,"GLASS","European Region"
"Austria",2020,"Staphylococcus aureus","Oxacillin",1968,88,"GLASS","European Region"
"Bahrain",2017,"Klebsiella pneumoniae","Ciprofloxacin",169,53,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Colistin",61,15,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Ceftriaxone",646,224,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Ertapenem",60,59,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Cefepime",169,75,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Imipenem",87,68,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Meropenem",319,59,"GLASS","Eastern Mediterranean Region"
"Bahrain",2017,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",636,278,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Ciprofloxacin",125,39,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Colistin",60,18,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Ceftriaxone",674,254,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Ertapenem",60,59,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Cefepime",125,56,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Imipenem",61,56,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Meropenem",322,54,"GLASS","Eastern Mediterranean Region"
"Bahrain",2018,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",581,222,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Amikacin",90,40,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Colistin",53,1,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Gentamicin",90,42,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Imipenem",90,60,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Meropenem",90,60,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Acinetobacter baumannii","Tigecycline",54,2,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Ampicillin",656,379,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Ceftazidime",874,218,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Ciprofloxacin",1448,345,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Colistin",13,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Ceftriaxone",3518,1163,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Cefotaxime",30,8,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Ertapenem",221,11,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Cefepime",973,308,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Imipenem",890,31,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Levofloxacin",862,184,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Meropenem",1782,35,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",3498,1271,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Ceftazidime",180,55,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Ciprofloxacin",540,143,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Colistin",116,35,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Ceftriaxone",1201,470,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Cefotaxime",11,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Ertapenem",186,120,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Cefepime",347,145,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Imipenem",295,125,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Levofloxacin",170,17,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Meropenem",662,127,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",1192,454,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Neisseria gonorrhoeae","Azithromycin",11,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Neisseria gonorrhoeae","Cefixime",10,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Neisseria gonorrhoeae","Ciprofloxacin",69,52,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Neisseria gonorrhoeae","Ceftriaxone",71,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Shigella sonnei","Ciprofloxacin",39,2,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Shigella sonnei","Ceftriaxone",39,5,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Staphylococcus aureus","Oxacillin",200,80,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Streptococcus pneumoniae","Ceftriaxone",19,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2019,"Streptococcus pneumoniae","Benzylpenicillin",16,0,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Ciprofloxacin",168,96,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Colistin",149,42,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Ceftriaxone",1081,416,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Ertapenem",288,154,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Cefepime",168,111,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Imipenem",298,143,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Meropenem",565,143,"GLASS","Eastern Mediterranean Region"
"Bahrain",2020,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",1082,381,"GLASS","Eastern Mediterranean Region"
"Bangladesh",2017,"Escherichia coli","Ampicillin",91,74,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Escherichia coli","Ceftazidime",87,48,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Escherichia coli","Ciprofloxacin",106,61,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Escherichia coli","Ceftriaxone",93,50,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Escherichia coli","Cefepime",90,44,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Escherichia coli","Imipenem",100,7,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Klebsiella pneumoniae","Ceftazidime",29,18,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Klebsiella pneumoniae","Ciprofloxacin",36,14,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Klebsiella pneumoniae","Ceftriaxone",28,14,"GLASS","South-East Asia Region"
"Bangladesh",2017,"Klebsiella pneumoniae","Cefepime",31,14,"GLASS","South-East Asia Region"
